ÆÚÊý,,,,,,,,,,,,,,
21061,4,9,12,18,20,23,1,694648802,4,10000000,127,237150,376779952,2021/6/3
21060,10,11,17,20,29,30,15,644294438,6,8356965,163,154461,365484344,2021/6/1
21059,1,9,11,18,32,33,14,618904511,1,10000000,91,397078,407754588,2021/5/30
21058,9,11,13,18,19,28,14,520502015,5,9893453,96,318584,382666074,2021/5/27
21057,5,6,9,17,25,33,16,478217025,6,8882850,179,162689,379559152,2021/5/25
21056,8,21,22,23,29,32,1,444149990,10,7488306,215,144669,410076324,2021/5/23
21055,3,11,12,16,22,28,10,425721551,29,5553793,206,97451,376647950,2021/5/20
21054,7,13,21,22,24,31,2,526556537,4,10000000,83,374991,371689954,2021/5/18
21053,7,10,14,16,24,33,16,473183576,3,10000000,84,355480,398009388,2021/5/16
21052,3,4,6,19,21,30,14,413602410,1,10000000,171,171643,376039676,2021/5/13
21051,8,9,10,19,27,29,15,335549357,10,6796944,309,72691,377624458,2021/5/11
21050,2,9,10,16,25,28,8,336133387,22,5598001,248,66310,403433980,2021/5/9
21049,4,11,13,22,25,32,1,409954275,4,10000000,78,440233,375111072,2021/5/6
21048,4,15,17,22,29,32,3,346939552,2,10000000,64,394580,339198590,2021/5/4
21047,3,7,13,16,24,29,1,291180168,5,9419460,231,119574,367123752,2021/5/2
21046,5,9,13,21,28,33,6,255412592,24,5735971,122,180976,377425810,2021/4/29
21045,1,4,14,15,17,32,2,326838472,6,8717208,86,324175,377279966,2021/4/27
21044,5,7,14,17,26,28,13,295504539,5,10000000,160,213373,418973684,2021/4/25
21043,2,3,17,18,23,24,1,243085282,3,10000000,93,331233,389948810,2021/4/22
21042,5,9,10,22,25,27,8,180671046,26,5498446,275,58907,382918124,2021/4/20
21041,2,9,18,23,26,32,14,275032108,54,5307817,367,56614,415676146,2021/4/18
21040,2,6,7,24,28,29,16,499321280,6,8652104,238,115087,385858982,2021/4/15
21039,2,8,21,24,29,31,13,469061553,7,7814665,105,234555,377513042,2021/4/13
21038,5,7,9,16,18,27,6,449879238,32,5502610,539,37299,401665288,2021/4/11
21037,13,17,19,24,26,30,12,565649555,7,7856624,104,240340,374416372,2021/4/8
21036,1,2,6,11,21,26,11,545659537,12,6690644,137,185107,365524430,2021/4/6
21035,12,14,18,20,26,28,11,549868285,7,7844638,153,162683,382205894,2021/4/4
21034,4,10,12,18,23,25,1,530109002,5,8852481,155,155342,377894218,2021/4/1
21033,2,12,13,14,31,33,6,502137377,7,8001905,98,268027,378842354,2021/3/30
21062,12,13,15,20,22,25,10,727417696,6,8804175,67,425840,405763536,2021/6/6
